;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
7322;17/18;Nikola Kalinic;16.349207371921707;16.48273876454623;187.0;30;Forward;both;41.0;6.0;6.0;45.0;2235.0;1.0;0.0;1.5433333333333332;0.0;0.0;16.0;18.0;3.0;12600000.0;14400000.0
7323;16/17;Nikola Kalinic;16.70588231586044;16.70588231586044;187.0;29;Forward;both;42.0;5.0;20.0;43.0;3196.0;0.0;1.0;1.7700000000000002;1.0;0.0;8.0;7.0;7.0;18000000.0;18000000.0
7324;19/20;Nikola Maksimovic;16.31283972775083;16.543363386362664;193.0;28;Defender;right;16.0;1.0;1.0;24.0;1370.0;0.0;0.0;1.9166666666666667;1.0;0.0;2.0;0.0;3.0;12150000.0;15300000.0
7325;18/19;Nikola Maksimovic;16.543363386362664;16.543363386362664;193.0;27;Defender;right;28.0;1.0;0.0;47.0;2306.0;0.0;0.0;1.7225000000000001;0.0;0.0;4.0;2.0;9.0;15300000.0;15300000.0
7326;17/18;Nikola Maksimovic;15.789591583986283;15.907374619642667;193.0;26;Defender;right;15.0;0.0;0.0;37.0;1182.0;0.0;0.0;2.4560000000000004;0.0;0.0;2.0;2.0;2.0;7200000.0;8100000.0
7327;16/17;Nikola Maksimovic;16.012735135300492;16.195056692094447;193.0;25;Defender;right;12.0;0.0;1.0;44.0;1026.0;0.0;0.0;2.1266666666666665;0.0;0.0;0.0;2.0;2.0;9000000.0;10800000.0
7328;19/20;Nikola Milenkovic;16.888203872654394;17.111347423968603;195.0;22;Defender;right;29.0;0.0;3.0;29.0;2610.0;0.0;0.0;1.725;0.0;0.0;0.0;0.0;5.0;21600000.0;27000000.0
7329;18/19;Nikola Milenkovic;17.111347423968603;17.26549810379586;195.0;21;Defender;right;38.0;0.0;3.0;39.0;3370.0;0.0;0.0;1.3599999999999999;0.0;1.0;1.0;0.0;8.0;27000000.0;31500000.0
7330;17/18;Nikola Milenkovic;15.907374619642667;15.319587954740548;195.0;20;Defender;right;17.0;0.0;0.0;39.0;1345.0;0.0;0.0;0.815;0.0;1.0;2.0;2.0;0.0;8100000.0;4500000.0
7331;16/17;Nikola Milenkovic;15.319587954740548;13.892471599100402;195.0;19;Defender;right;40.0;1.0;3.0;42.0;3630.0;0.0;0.0;1.9833333333333332;0.0;0.0;0.0;0.0;7.0;4500000.0;1080000.0
7332;19/20;Nikola Vukcevic;14.585618779660347;14.808762330974558;187.0;28;Midfielder;right;24.0;2.0;0.0;25.0;1216.0;0.0;0.0;2.135;0.0;1.0;9.0;9.0;8.0;2160000.0;2700000.0
7333;18/19;Nikola Vukcevic;14.626440774180603;14.626440774180603;187.0;27;Midfielder;right;17.0;0.0;0.0;24.0;740.0;0.0;0.0;2.0949999999999998;0.0;1.0;8.0;7.0;3.0;2250000.0;2250000.0
7334;17/18;Nikola Vukcevic;15.319587954740548;14.808762330974558;187.0;26;Midfielder;right;45.0;3.0;2.0;46.0;3754.0;0.0;0.0;1.452;0.0;0.0;8.0;3.0;14.0;4500000.0;2700000.0
7335;16/17;Nikola Vukcevic;14.626440774180603;14.808762330974558;187.0;25;Midfielder;right;37.0;1.0;1.0;39.0;2742.0;0.0;0.0;1.46;1.0;0.0;6.0;7.0;13.0;2250000.0;2700000.0
7336;19/20;Nikolas Spalek;14.403297222866392;14.626440774180603;171.0;23;Midfielder;right;16.0;1.0;1.0;26.0;1049.0;0.0;0.0;0.435;0.0;0.0;12.0;3.0;2.0;1800000.0;2250000.0
7337;18/19;Nikolas Spalek;14.626440774180603;14.240778293368619;171.0;22;Midfielder;right;29.0;4.0;2.0;38.0;1984.0;0.0;0.0;0.91;0.0;0.0;10.0;6.0;3.0;2250000.0;1530000.0
7338;17/18;Nikolas Spalek;14.115615150414612;13.112313041550827;171.0;21;Midfielder;right;36.0;13.0;7.0;41.0;2364.0;0.0;0.0;1.54;0.0;0.0;12.0;11.0;2.0;1350000.0;495000.0
